"fin.GEO.id2","fin.NAME","fin.01.OccupiedHousingUnits","fin.03.LessThan5000","fin.04.5000to9999","fin.05.10000to14999","fin.06.15000to19999","fin.07.20000to24999","fin.08.25000to34999","fin.09.35000to49999","fin.10.50000to74999","fin.11.75000to99999","fin.12.100000to149999","fin.13.150000.or.more","fin.14.MedianHouseholdIncome","fin.LessThan5000","fin.5000to9999","fin.10000to14999","fin.15000to19999","fin.20000to24999","fin.25000to34999","fin.35000to49999","fin.50000to74999","fin.75000to99999","fin.100000to149999","fin.150000.or.more"
38,"North Dakota",313475,2.4,3.2,5,4.1,4.7,9.4,13.9,17.1,13.4,15.9,11,60557,7523.4,10031.2,15673.75,12852.475,14733.325,29466.65,43573.025,53604.225,42005.65,49842.525,34482.25
39,"Ohio",4606655,3.6,4.1,5.3,5.5,5.5,10.7,14.1,18.5,12.2,12.4,8,51075,165839.58,188872.855,244152.715,253366.025,253366.025,492912.085,649538.355,852231.175,562011.91,571225.22,368532.4
40,"Oklahoma",1465951,3.6,4.2,5.7,5.8,6.1,10.9,14.8,18.9,11.6,11.2,7.2,48568,52774.236,61569.942,83559.207,85025.158,89423.011,159788.659,216960.748,277064.739,170050.316,164186.512,105548.472
41,"Oregon",1553205,3.1,3.7,4.9,5.1,5.3,10.6,13.6,18.8,12.6,13.1,9.3,54148,48149.355,57468.585,76107.045,79213.455,82319.865,164639.73,211235.88,292002.54,195703.83,203469.855,144448.065
42,"Pennsylvania",4956037,3,3.7,4.9,5.2,5,9.9,13.3,18.4,12.8,13.5,10.3,55702,148681.11,183373.369,242845.813,257713.924,247801.85,490647.663,659152.921,911910.808,634372.736,669064.995,510471.811
44,"Rhode Island",407484,3.9,4.1,5.6,4.6,4.7,8.8,12.1,16.5,13.1,14.8,11.8,58073,15891.876,16706.844,22819.104,18744.264,19151.748,35858.592,49305.564,67234.86,53380.404,60307.632,48083.112
45,"South Carolina",1857768,4,4.1,6.2,5.8,6.1,11.2,14.6,18.7,11.7,10.7,6.8,47238,74310.72,76168.488,115181.616,107750.544,113323.848,208070.016,271234.128,347402.616,217358.856,198781.176,126328.224
46,"South Dakota",339437,2.6,3.5,5.5,4.6,5.5,10.6,14.9,19.7,14.2,12,7,53017,8825.362,11880.295,18669.035,15614.102,18669.035,35980.322,50576.113,66869.089,48200.054,40732.44,23760.59
47,"Tennessee",2530260,3.7,4.3,6,5.9,6.2,11.4,14.9,18.5,11.1,10.8,7.2,47275,93619.62,108801.18,151815.6,149285.34,156876.12,288449.64,377008.74,468098.1,280858.86,273268.08,182178.72
48,"Texas",9421412,3.2,3.4,4.7,5,5.3,10.1,13.5,18,12,13.5,11.4,55653,301485.184,320328.008,442806.364,471070.6,499334.836,951562.612,1271890.62,1695854.16,1130569.44,1271890.62,1074040.968
49,"Utah",930980,2.3,2.2,3.5,3.5,4.2,9.1,13.6,20.8,15,15.4,10.4,62912,21412.54,20481.56,32584.3,32584.3,39101.16,84719.18,126613.28,193643.84,139647,143370.92,96821.92
50,"Vermont",254865,1.9,3,5.3,5.4,5.6,9.2,13.1,19.3,14.2,14.1,8.9,56990,4842.435,7645.95,13507.845,13762.71,14272.44,23447.58,33387.315,49188.945,36190.83,35935.965,22682.985
51,"Virginia",3106895,2.8,2.9,3.8,3.9,4.2,8.3,12,17.4,12.8,16,15.8,66262,86993.06,90099.955,118062.01,121168.905,130489.59,257872.285,372827.4,540599.73,397682.56,497103.2,490889.41
53,"Washington",2728573,2.7,3,3.8,3.8,4.2,8.7,12.8,18.2,13.8,15.8,13.3,64129,73671.471,81857.19,103685.774,103685.774,114600.066,237385.851,349257.344,496600.286,376543.074,431114.534,362900.209
54,"West Virginia",734536,4,5.7,6.6,7.2,6.7,11.8,15.6,17.3,10.8,9.5,4.8,42019,29381.44,41868.552,48479.376,52886.592,49213.912,86675.248,114587.616,127074.728,79329.888,69780.92,35257.728
55,"Wisconsin",2319538,2.5,2.9,4.7,4.8,5.5,10.3,14,19.9,14,13.6,7.9,55638,57988.45,67266.602,109018.286,111337.824,127574.59,238912.414,324735.32,461588.062,324735.32,315457.168,183243.502
56,"Wyoming",228937,2.2,2.5,4.5,4.7,4.8,9.5,13.4,18.8,14.4,17.1,8.1,60214,5036.614,5723.425,10302.165,10760.039,10988.976,21749.015,30677.558,43040.156,32966.928,39148.227,18543.897
72,"Puerto Rico",1221851,17,13.1,12.3,10.1,8.2,11.2,11.4,9.1,3.6,2.4,1.6,18626,207714.67,160062.481,150287.673,123406.951,100191.782,136847.312,139291.014,111188.441,43986.636,29324.424,19549.616
