"","NAME","Pop2015","Pop2016.x","ATF.Region","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL","Category","PerCapCategory"
"91","South Dakota",857919,865454,3,6194,516.166666666667,715.6937283784,59.6411440315334,"Median Household Income",53017
"92","Tennessee",6595056,6651194,1,18427,1535.58333333333,277.048000704836,23.0873333920697,"Median Household Income",47275
"93","Texas",27429639,27862596,5,75956,6329.66666666667,272.609199803206,22.7174333169338,"Median Household Income",55653
"94","Utah",2990632,3051217,9,11105,925.416666666667,363.953137387475,30.3294281156229,"Median Household Income",62912
"95","Vermont",626088,624594,6,3724,310.333333333333,596.227309260095,49.6856091050079,"Median Household Income",56990
"96","Virginia",8367587,8411808,1,20580,1715,244.65608344841,20.3880069540341,"Median Household Income",66262
"97","Washington",7160290,7288000,9,14427,1202.25,197.955543358946,16.4962952799122,"Median Household Income",64129
"98","West Virginia",1841053,1831102,4,10736,894.666666666667,586.313596948723,48.8594664123936,"Median Household Income",42019
"99","Wisconsin",5767891,5778708,3,18875,1572.91666666667,326.63010486081,27.2191754050675,"Median Household Income",55638
"100","Wyoming",586555,585501,5,7358,613.166666666667,1256.70152570192,104.725127141827,"Median Household Income",60214
"101","Alabama",4853875,4863300,1,14761,1230.08333333333,303.518187239117,25.2931822699265,"Less than 5000",1711.77770338132
"102","Alaska",737709,741894,9,7284,607,981.811417803622,81.8176181503018,"Less than 5000",610.448022187611
"103","Arizona",6817565,6931071,9,21759,1813.25,313.934166884166,26.1611805736805,"Less than 5000",1445.09542629957
"104","Arkansas",2977853,2988248,5,15251,1270.91666666667,510.365940176317,42.5304950146931,"Less than 5000",1576.00737847033
"105","California",38993940,39250017,9,30579,2548.25,77.9082465110779,6.49235387592316,"Less than 5000",959.108910256312
"106","Colorado",5448819,5540545,5,20702,1725.16666666667,373.645552919433,31.1371294099528,"Less than 5000",1028.073147594
"107","Connecticut",3584730,3576452,6,6473,539.416666666667,180.98942751084,15.08245229257,"Less than 5000",1087.03827066474
"108","Delaware",944076,952065,8,1433,119.416666666667,150.514933329132,12.542911110761,"Less than 5000",1232.48922756219
"109","Florida",20244914,20612439,1,38357,3196.41666666667,186.086663494796,15.5072219578996,"Less than 5000",1400.85056424542
"110","Georgia",10199398,10310371,1,23825,1985.41666666667,231.078008735088,19.256500727924,"Less than 5000",1469.81897362962
"111","Hawaii",1425157,1428557,9,1252,104.333333333333,87.6408851729402,7.30340709774502,"Less than 5000",907.418901917473
"112","Idaho",1652828,1683140,9,11462,955.166666666667,680.989103699039,56.7490919749199,"Less than 5000",1301.23376419083
"113","Illinois",12839047,12801539,3,24367,2030.58333333333,190.344301571866,15.8620251309888,"Less than 5000",1307.01527146057
"114","Indiana",6612768,6633053,4,17601,1466.75,265.352922703919,22.1127435586599,"Less than 5000",1255.14336810243
"115","Iowa",3121997,3134693,5,15442,1286.83333333333,492.616023323496,41.051335276958,"Less than 5000",1078.65968481072
"116","Kansas",2906721,2907289,5,13432,1119.33333333333,462.011172607883,38.5009310506569,"Less than 5000",1223.73712509732
"117","Kentucky",4424611,4436974,4,16951,1412.58333333333,382.039651347968,31.8366376123307,"Less than 5000",1435.1140925157
"118","Louisiana",4668960,4681666,5,14627,1218.91666666667,312.431514764189,26.0359595636824,"Less than 5000",1749.46189301258
"119","Maine",1329453,1331479,6,6210,517.5,466.398643914023,38.866553659502,"Less than 5000",1066.29388176942
"120","Maryland",5994983,6016447,8,7083,590.25,117.727289877232,9.81060748976929,"Less than 5000",908.231933268201
"121","Massachusetts",6784240,6811779,6,5880,490,86.3210623832629,7.19342186527191,"Less than 5000",1094.27996356261
"122","Michigan",9917715,9928300,4,26151,2179.25,263.398541200554,21.9498784333795,"Less than 5000",1439.50178040002
"123","Minnesota",5482435,5519952,3,17391,1449.25,315.057087452934,26.2547572877445,"Less than 5000",861.656617907919
"124","Mississippi",2989390,2988726,1,11264,938.666666666667,376.882992954188,31.4069160795157,"Less than 5000",2031.86620012779
"125","Missouri",6076204,6093000,5,26691,2224.25,438.060068931561,36.5050057442967,"Less than 5000",1250.3490666212
"126","Montana",1032073,1042520,9,12987,1082.25,1245.73149675786,103.810958063155,"Less than 5000",1286.1229777351
"127","Nebraska",1893765,1907116,5,8228,685.666666666667,431.436787274607,35.9530656062173,"Less than 5000",1021.67555108474
"128","Nevada",2883758,2940058,9,7452,621,253.464387437255,21.1220322864379,"Less than 5000",1264.74811686695
"129","New Hampshire",1330111,1334795,6,5961,496.75,446.585430721571,37.215452560131,"Less than 5000",661.557945163975
"130","New Jersey",8935421,8944469,8,3957,329.75,44.2396300998975,3.68663584165812,"Less than 5000",1070.33445877928
"131","New Mexico",2080328,2081015,5,8291,690.916666666667,398.411352152675,33.200946012723,"Less than 5000",1684.47773620314
"132","New York",19747183,19745289,6,19935,1661.25,100.960791204423,8.41339926703529,"Less than 5000",1355.36637301634
"133","North Carolina",10035186,10146788,1,28769,2397.41666666667,283.528147035298,23.6273455862749,"Less than 5000",1340.59373687742
"134","North Dakota",756835,757952,3,4952,412.666666666667,653.339525458077,54.4449604548397,"Less than 5000",994.060792643046
"135","Ohio",11605090,11614373,4,29632,2469.33333333333,255.132153926863,21.2610128272386,"Less than 5000",1429.02450562641
"136","Oklahoma",3907414,3923561,5,18364,1530.33333333333,468.044207800006,39.0036839833339,"Less than 5000",1350.61797905213
"137","Oregon",4024634,4093465,9,17350,1445.83333333333,423.846301360828,35.3205251134023,"Less than 5000",1196.36605465242
"138","Pennsylvania",12791904,12784227,8,30633,2552.75,239.615582545585,19.9679652121321,"Less than 5000",1162.30633062912
"139","Rhode Island",1055607,1056426,6,1087,90.5833333333333,102.894097646215,8.57450813718456,"Less than 5000",1505.47277537947
"140","South Carolina",4894834,4961119,1,13354,1112.83333333333,269.173144203959,22.4310953503299,"Less than 5000",1518.14586562077
"141","South Dakota",857919,865454,3,6194,516.166666666667,715.6937283784,59.6411440315334,"Less than 5000",1028.69408417345
"142","Tennessee",6595056,6651194,1,18427,1535.58333333333,277.048000704836,23.0873333920697,"Less than 5000",1419.54245725889
"143","Texas",27429639,27862596,5,75956,6329.66666666667,272.609199803206,22.7174333169338,"Less than 5000",1099.12195344605
"144","Utah",2990632,3051217,9,11105,925.416666666667,363.953137387475,30.3294281156229,"Less than 5000",715.987122454384
"145","Vermont",626088,624594,6,3724,310.333333333333,596.227309260095,49.6856091050079,"Less than 5000",773.443190094683
"146","Virginia",8367587,8411808,1,20580,1715,244.65608344841,20.3880069540341,"Less than 5000",1039.6433284769
"147","Washington",7160290,7288000,9,14427,1202.25,197.955543358946,16.4962952799122,"Less than 5000",1028.88948631969
"148","West Virginia",1841053,1831102,4,10736,894.666666666667,586.313596948723,48.8594664123936,"Less than 5000",1595.90408315241
"149","Wisconsin",5767891,5778708,3,18875,1572.91666666667,326.63010486081,27.2191754050675,"Less than 5000",1005.36660626909
"150","Wyoming",586555,585501,5,7358,613.166666666667,1256.70152570192,104.725127141827,"Less than 5000",858.677191397226
"151","Alabama",4853875,4863300,1,14761,1230.08333333333,303.518187239117,25.2931822699265,"5000 to 9999",1901.97522597924
"152","Alaska",737709,741894,9,7284,607,981.811417803622,81.8176181503018,"5000 to 9999",746.103138229302
"153","Arizona",6817565,6931071,9,21759,1813.25,313.934166884166,26.1611805736805,"5000 to 9999",1264.45849801212
"154","Arkansas",2977853,2988248,5,15251,1270.91666666667,510.365940176317,42.5304950146931,"5000 to 9999",1921.96021764674
"155","California",38993940,39250017,9,30579,2548.25,77.9082465110779,6.49235387592316,"5000 to 9999",859.890747126348
"156","Colorado",5448819,5540545,5,20702,1725.16666666667,373.645552919433,31.1371294099528,"5000 to 9999",989.996364349779
"157","Connecticut",3584730,3576452,6,6473,539.416666666667,180.98942751084,15.08245229257,"5000 to 9999",1012.07011406717
"158","Delaware",944076,952065,8,1433,119.416666666667,150.514933329132,12.542911110761,"5000 to 9999",784.311326630483
"159","Florida",20244914,20612439,1,38357,3196.41666666667,186.086663494796,15.5072219578996,"5000 to 9999",1327.12158717987
"160","Georgia",10199398,10310371,1,23825,1985.41666666667,231.078008735088,19.256500727924,"5000 to 9999",1398.1204871111
"161","Hawaii",1425157,1428557,9,1252,104.333333333333,87.6408851729402,7.30340709774502,"5000 to 9999",750.967367104116
"162","Idaho",1652828,1683140,9,11462,955.166666666667,680.989103699039,56.7490919749199,"5000 to 9999",1301.23376419083
"163","Illinois",12839047,12801539,3,24367,2030.58333333333,190.344301571866,15.8620251309888,"5000 to 9999",1232.32868451996
"164","Indiana",6612768,6633053,4,17601,1466.75,265.352922703919,22.1127435586599,"5000 to 9999",1293.17801562069
"165","Iowa",3121997,3134693,5,15442,1286.83333333333,492.616023323496,41.051335276958,"5000 to 9999",1278.41147829418
"166","Kansas",2906721,2907289,5,13432,1119.33333333333,462.011172607883,38.5009310506569,"5000 to 9999",1261.97891025661
"167","Kentucky",4424611,4436974,4,16951,1412.58333333333,382.039651347968,31.8366376123307,"5000 to 9999",2133.27770509091
"168","Louisiana",4668960,4681666,5,14627,1218.91666666667,312.431514764189,26.0359595636824,"5000 to 9999",2084.46523422775
"169","Maine",1329453,1331479,6,6210,517.5,466.398643914023,38.866553659502,"5000 to 9999",1640.45212579911
"170","Maryland",5994983,6016447,8,7083,590.25,117.727289877232,9.81060748976929,"5000 to 9999",908.231933268201
"171","Massachusetts",6784240,6811779,6,5880,490,86.3210623832629,7.19342186527191,"5000 to 9999",1169.74754725658
"172","Michigan",9917715,9928300,4,26151,2179.25,263.398541200554,21.9498784333795,"5000 to 9999",1556.218140973
"173","Minnesota",5482435,5519952,3,17391,1449.25,315.057087452934,26.2547572877445,"5000 to 9999",1057.48766743245
"174","Mississippi",2989390,2988726,1,11264,938.666666666667,376.882992954188,31.4069160795157,"5000 to 9999",2216.58130923031
"175","Missouri",6076204,6093000,5,26691,2224.25,438.060068931561,36.5050057442967,"5000 to 9999",1484.78951661267
"176","Montana",1032073,1042520,9,12987,1082.25,1245.73149675786,103.810958063155,"5000 to 9999",1607.65372216888
"177","Nebraska",1893765,1907116,5,8228,685.666666666667,431.436787274607,35.9530656062173,"5000 to 9999",1218.15161860104
"178","Nevada",2883758,2940058,9,7452,621,253.464387437255,21.1220322864379,"5000 to 9999",1084.06981445739
"179","New Hampshire",1330111,1334795,6,5961,496.75,446.585430721571,37.215452560131,"5000 to 9999",895.048984633613
"180","New Jersey",8935421,8944469,8,3957,329.75,44.2396300998975,3.68663584165812,"5000 to 9999",963.301012901351
"181","New Mexico",2080328,2081015,5,8291,690.916666666667,398.411352152675,33.200946012723,"5000 to 9999",1904.19222353398
"182","New York",19747183,19745289,6,19935,1661.25,100.960791204423,8.41339926703529,"5000 to 9999",1501.89246739649
"183","North Carolina",10035186,10146788,1,28769,2397.41666666667,283.528147035298,23.6273455862749,"5000 to 9999",1493.80444966341
"184","North Dakota",756835,757952,3,4952,412.666666666667,653.339525458077,54.4449604548397,"5000 to 9999",1325.41439019073
"185","Ohio",11605090,11614373,4,29632,2469.33333333333,255.132153926863,21.2610128272386,"5000 to 9999",1627.50013140786
"186","Oklahoma",3907414,3923561,5,18364,1530.33333333333,468.044207800006,39.0036839833339,"5000 to 9999",1575.72097556082
"187","Oregon",4024634,4093465,9,17350,1445.83333333333,423.846301360828,35.3205251134023,"5000 to 9999",1427.92077490773
"188","Pennsylvania",12791904,12784227,8,30633,2552.75,239.615582545585,19.9679652121321,"5000 to 9999",1433.51114110925
"189","Rhode Island",1055607,1056426,6,1087,90.5833333333333,102.894097646215,8.57450813718456,"5000 to 9999",1582.67650745022
"190","South Carolina",4894834,4961119,1,13354,1112.83333333333,269.173144203959,22.4310953503299,"5000 to 9999",1556.09951226129
"191","South Dakota",857919,865454,3,6194,516.166666666667,715.6937283784,59.6411440315334,"5000 to 9999",1384.78049792579
"192","Tennessee",6595056,6651194,1,18427,1535.58333333333,277.048000704836,23.0873333920697,"5000 to 9999",1649.73853140898
"193","Texas",27429639,27862596,5,75956,6329.66666666667,272.609199803206,22.7174333169338,"5000 to 9999",1167.81707553643
