"NAME","ATF.Region","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL","Pop2010","Pop2011","Pop2012","Pop2013","Pop2014","Pop2015","Pop2016","Total.18to24","Total.25to34","Total.35to44","Total.45to64","Total.65plus","Total.1824.HS.Male","Total.25to34.HS","Total.35to44.HS","Total.45to64.HS","Total.65plus.HS","Total.18to24.BA","Total.25to34.BA","Total.35to44.BA","Total.45to64.BA","Total.65plus.BA","Total.18.to24.Male","Total.25to34.Male","Total.35to44.Male","Total.45to64.Male","Total.65plus.Male","Total.18to24.Female","Total.25to34.Female","Total.35to44.Female","Total.45to64.Female","Total.65plus.Female","total.pop","total.HS","total.BA","total.male","total.female","pop.err.2015","pop.err.2016","perCap.pop","perCap.HS","perCap.BA","perCap.male","perCap.female"
"Connecticut",6,6473,539.416666666667,180.98942751084,15.08245229257,3579899,3589893,3593795,3596003,3591873,3584730,3576452,352843,442776,432504,1034155,565283,55832,408304,397492,950056,476598,52002,193704,180801,396555,176984,181858,223295,211062,500881,243789,170985,219481,221442,533274,321494,2827561,2288282,1000046,1360885,1466676,757169,748891,78877.9350188159,63834.1520839784,27897.3869719616,37963.3891534369,40914.545865379
"Iowa",5,15442,1286.83333333333,492.616023323496,41.051335276958,3050738,3065223,3076310,3091930,3108030,3121997,3134693,320642,392752,368059,812541,501152,47408,365952,339906,754516,442465,31828,131643,123606,202439,98903,165524,198783,186199,405193,221444,155118,193969,181860,407348,279708,2395146,1950247,588419,1177143,1218003,726851,739547,76718.3953091563,62467.9331850735,18847.519712543,37704.808813077,39013.5864960793
"Utah",9,11105,925.416666666667,363.953137387475,30.3294281156229,2775326,2816124,2855782,2902663,2941836,2990632,3051217,341637,440506,402256,591345,307842,60594,406490,367206,540441,280046,23356,138030,134743,189976,91963,172958,223444,205010,293456,142599,168679,217062,197246,297889,165243,2083586,1654777,578068,1037467,1046119,907046,967631,69670.4241778995,55332.0167777246,19329.2922699951,34690.5603899109,34979.8637879886
"Mississippi",1,11264,938.666666666667,376.882992954188,31.4069160795157,2970322,2978162,2984945,2990482,2992400,2989390,2988726,311989,373921,385487,751968,440961,48735,327020,332827,631518,338163,19255,86420,85720,147914,86545,156653,184950,187030,360571,189986,155336,188971,198457,391397,250975,2264326,1678263,425854,1079190,1185136,725064,724400,75745.419634106,56140.6507682169,14245.5149712818,36100.6760576572,39644.7435764487
"Arkansas",5,15251,1270.91666666667,510.365940176317,42.5304950146931,2921995,2939493,2950685,2958663,2966912,2977853,2988248,284441,385391,367499,756815,478114,51576,341615,322906,650789,382438,20474,93033,92184,159014,89150,144726,190379,182421,369413,212325,139715,195012,185078,387402,265789,2272260,1749324,453855,1099264,1172996,705593,715988,76305.3112426973,58744.4712683937,15241.0142475132,36914.6495814266,39390.6616612707
"Nevada",9,7452,621,253.464387437255,21.1220322864379,2703284,2718379,2752565,2786464,2833013,2883758,2940058,254123,411910,388122,746023,422112,48839,359446,325999,636633,362728,12761,88576,96635,173354,105116,129724,209071,196075,372995,199464,124399,202839,192047,373028,222648,2222290,1733645,476442,1107329,1114961,661468,717768,77062.291634735,60117.5618758578,16521.5666501835,38398.8184861559,38663.473148579
"Kansas",5,13432,1119.33333333333,462.011172607883,38.5009310506569,2858850,2869503,2885262,2892821,2899360,2906721,2907289,302928,384499,347230,730698,426052,51348,346055,313155,669840,375675,27032,136905,122064,230446,109648,160097,196774,175374,361801,187878,142831,187725,171856,368897,238174,2191407,1756073,626095,1081924,1109483,715314,715882,75391.0334015545,60414.2262019643,21539.5629645914,37221.4601951821,38169.5732063724
"New Mexico",5,8291,690.916666666667,398.411352152675,33.200946012723,2064756,2077756,2083784,2085193,2083024,2080328,2081015,208145,272426,246672,527856,330594,35479,231232,207735,455314,271659,9689,59093,60654,145729,98986,106747,142245,125403,255280,149741,101398,130181,121269,272576,180853,1585693,1201419,374151,779416,806277,494635,495322,76223.2205690641,57751.4218911633,17985.1927196096,37466.0149745617,38757.2055945024
"Nebraska",5,8228,685.666666666667,431.436787274607,35.9530656062173,1830051,1842283,1855725,1868559,1881145,1893765,1907116,192977,252652,232446,468794,278691,28686,232501,208517,434141,246798,24133,87702,83941,137209,63436,98599,129028,118967,232232,123285,94378,123624,113479,236562,155406,1425560,1150643,396421,702111,723449,468205,481556,75276.4994600703,60759.5451389164,20932.9563066167,37074.8746544582,38201.6248056121
"West Virginia",4,10736,894.666666666667,586.313596948723,48.8594664123936,1854230,1854972,1856560,1853231,1848514,1841053,1831102,164334,217874,230444,515668,336361,37448,197532,210834,450405,259461,13103,57056,49498,95396,52464,85937,108557,116250,254978,151128,78397,109317,114194,260690,185233,1464681,1155680,267517,716850,747831,376372,366421,79556.6993454289,62772.7718865236,14530.6517520137,38936.9561875731,40619.7431578559
"Idaho",9,11462,955.166666666667,680.989103699039,56.7490919749199,1571010,1584143,1595911,1612011,1633532,1652828,1683140,156767,216810,204505,401403,243264,30618,195842,183703,365550,214353,8194,54439,60716,102239,59518,79751,109776,103047,198789,114197,77016,107034,101458,202614,129067,1222749,990066,285106,605560,617189,430079,460391,73979.2041277132,59901.3327460571,17249.5867688592,36637.8110729005,37341.3930548127
"Hawaii",9,1252,104.333333333333,87.6408851729402,7.30340709774502,1363945,1377864,1391820,1406481,1416349,1425157,1428557,134483,216396,177777,354588,237153,33464,206271,164107,327356,198185,10901,68023,61430,111530,68211,75365,117051,91264,175653,106797,59118,99345,86513,178935,130356,1120397,929383,320095,566130,554267,304760,308160,78615.6893591373,65212.6748140731,22460.3324405662,39724.0444386127,38891.6449205246
