"NAME","LicCount","perCapFFLyear","LicCountMonthly","perCapitaFFL","EstPop16.Wiki","EstPopPerHouseSeat","HouseRate","REGION","DIVISION","STATE","POPESTIMATE2016","NPOPCHG_2016","BIRTHS2016","DEATHS2016","NATURALINC2016","INTERNATIONALMIG2016","DOMESTICMIG2016","NETMIG2016","RESIDUAL2016","RBIRTH2016","RDEATH2016","RNATURALINC2016","RINTERNATIONALMIG2016","RDOMESTICMIG2016","RNETMIG2016","OtherWeapon","DestructiveDevice","MachineGun","Silencer","Rifle","Shotgun","Total","OtherWeapon.per100k","DestructiveDevice.per100k","MachineGun.per100k","Silencer.per100k","Rifle.per100k","Shotgun.per100k","Total.per100k"
"Mississippi",11264,376.882992954188,938.666666666667,31.4069160795157,2988726,748083,3.99517967926019,3,6,28,2988726,-664,37880,31006,6874,2223,-9690,-7467,-71,12.672888917,10.373167734,2.2997211831,0.7437125676,-3.241824013,-2.498111445,426,9628,4220,10589,1747,798,27408,14.2535648968825,322.143950298555,141.197286067709,354.298118997861,58.4529997062293,26.7003398772587,917.046259844496
"Arkansas",15251,510.365940176317,1270.91666666667,42.5304950146931,2988248,744551,4.01349000941507,3,7,5,2988248,10395,37936,30581,7355,3335,195,3530,-490,12.717183299,10.251586421,2.4655968781,1.1179830848,0.0653693258,1.1833524106,604,45813,5189,14370,2464,1060,69500,20.2125124822304,1533.10568600732,173.646899454128,480.883782068958,82.4563423116154,35.4722901178215,2325.77751244207
"Nevada",7452,253.464387437255,621,21.1220322864379,2940058,722711,4.06809637600645,4,8,32,2940058,56300,36462,23771,12691,7392,34575,41967,1642,12.521686812,8.1633760407,4.3583107708,2.5385417396,11.873658096,14.412199836,812,35251,10336,14928,5504,954,67785,27.6185027642312,1198.98995189891,351.55769035849,507.745085301038,187.207191150651,32.4483394545278,2305.56676092785
"Kansas",13432,462.011172607883,1119.33333333333,38.5009310506569,2907289,727910,3.99402261268563,2,4,20,2907289,568,38702,25128,13574,5851,-18595,-12744,-262,13.313358594,8.6439479808,4.6694106133,2.0127244363,-6.396617825,-4.383893389,704,22580,3667,7715,2276,966,37908,24.2149989216758,776.668573368523,126.13125148549,265.367495285126,78.2859908320088,33.2268309067313,1303.89514079956
"New Mexico",8291,398.411352152675,690.916666666667,33.200946012723,2081015,695036,2.99411109640364,4,8,35,2081015,687,25491,17799,7692,2637,-9748,-7111,106,12.251333284,8.5544498495,3.696883434,1.2673793052,-4.685025964,-3.417646659,302,79180,3847,6159,2080,683,92251,14.5121491195402,3804.87406385826,184.861714115468,295.96134578559,99.9512257239857,32.8205226776357,4432.98102128048
"Nebraska",8228,431.436787274607,685.666666666667,35.9530656062173,1907116,632063,3.01728783364949,2,4,31,1907116,13351,26553,15355,11198,4187,-2144,2043,110,13.972023854,8.0797057314,5.8923181231,2.2031734222,-1.128159498,1.0750139244,763,6291,2217,6576,1354,810,18011,40.0080540460045,329.869813897005,116.248828073384,344.813844569497,70.9972544931719,42.4725082270822,944.410303306144
"West Virginia",10736,586.313596948723,894.666666666667,48.8594664123936,1831102,614709,2.97881111224986,3,5,54,1831102,-9951,19799,22479,-2680,1076,-7659,-6583,-688,10.783313885,12.242947261,-1.459633376,0.5860319077,-4.171392547,-3.58536064,446,16928,6774,5020,1349,1023,31540,24.3569173099041,924.470619331965,369.941161115001,274.15184954197,73.671483074127,55.8679964305648,1722.46002680353
"Idaho",11462,680.989103699039,955.166666666667,56.7490919749199,1683140,827465,2.03409207640202,4,8,16,1683140,30312,22792,12496,10296,1726,17143,18869,1147,13.664399659,7.4916785773,6.1727210813,1.0347821082,10.277676524,11.312458633,641,17172,4039,18176,2437,459,42924,38.0835818767304,1020.23598749955,239.968154758368,1079.88640279478,144.788906448661,27.2704587853654,2550.23349216346
"Hawaii",1252,87.6408851729402,104.333333333333,7.30340709774502,1428557,715802,1.99574323625807,4,9,15,1428557,3400,18507,12237,6270,7438,-10021,-2583,-287,12.970465856,8.5761922884,4.3942735677,5.2128559484,-7.023128456,-1.810272508,34,6863,410,143,59,62,7571,2.38002403824279,480.414852190007,28.7002898729277,10.0101011020211,4.13004171342131,4.34004383444273,529.975352751063
"New Hampshire",5961,446.585430721571,496.75,37.215452560131,1334795,665304,2.00629336363527,1,1,33,1334795,4684,12274,11572,702,2175,2187,4362,-380,9.211581947,8.6847340957,0.5268478513,1.6323277444,1.6413336906,3.273661435,447,4253,9325,12120,3194,482,29821,33.4882884637716,318.625706569174,698.60914971962,908.004599957297,239.287680879835,36.1104139586978,2234.1258395484
"Maine",6210,466.398643914023,517.5,38.866553659502,1331479,664664,2.00323622160972,1,1,23,1331479,2026,12542,13842,-1300,1785,2169,3954,-628,9.4267722738,10.40387353,-0.977101256,1.3416351865,1.6302558652,2.9718910517,578,3320,4858,2467,1725,454,13402,43.4103729762167,249.34677903294,364.857425464465,185.282681889838,129.555178865006,34.0974209882394,1006.54985921671
"Rhode Island",1087,102.894097646215,90.5833333333333,8.57450813718456,1056426,528149,2.00024235585034,1,1,44,1056426,819,10770,9849,921,4203,-3784,419,-521,10.198704282,9.326558818,0.8721454636,3.9800514481,-3.583277345,0.3967741034,41,3187,639,29,119,113,4128,3.88101012281031,301.677542960889,60.4869626457509,2.74510472101217,11.2643952344982,10.6964425335991,390.75145821856
"Montana",12987,1245.73149675786,1082.25,103.810958063155,1042520,1032949,1.00926570430873,4,8,30,1042520,10447,12431,9597,2834,569,6853,7422,191,11.984037351,9.2519351989,2.7321021521,0.5485413283,6.606597053,7.1551383814,444,3675,2373,7928,1042,438,15900,42.5891110002686,352.511222806277,227.621532440625,760.465027049841,99.9501208609907,42.0135824732379,1525.15059663124
"Delaware",1433,150.514933329132,119.416666666667,12.542911110761,952065,952065,1,3,5,10,952065,7989,10922,8945,1977,2556,3027,5583,429,11.52024032,9.4349523585,2.0852879612,2.6960020378,3.1928005354,5.8888025732,32,2748,583,324,184,537,4408,3.36111504991781,288.635754911692,61.2353148156901,34.0312898804178,19.3264115370274,56.4037119314333,462.993598126178
"South Dakota",6194,715.6937283784,516.166666666667,59.6411440315334,865454,858469,1.00813657802437,2,4,46,865454,7535,12114,7296,4818,1632,941,2573,144,14.058477184,8.4671165209,5.5913606631,1.8939602744,1.0920444965,2.9860047709,352,3761,1718,7320,547,194,13892,40.6722945413621,434.569601619497,198.508528471762,845.798852394235,63.2038213469462,22.4159805142734,1605.16907888807
"North Dakota",4952,653.339525458077,412.666666666667,54.4449604548397,757952,756927,1.00135415964816,2,4,38,757952,1117,11824,6172,5652,1575,-6259,-4684,149,15.611435799,8.1490004865,7.4624353127,2.0795002862,-8.263868121,-6.184367835,204,1926,1581,4836,642,271,9460,26.914633116609,254.105800895043,208.58840665372,638.035126234907,84.7019336316812,35.7542430127501,1248.10014354471
"Alaska",7284,981.811417803622,607,81.8176181503018,741894,741894,1,4,9,2,741894,4185,11255,4511,6744,2030,-4587,-2557,-2,15.213540389,6.097581581,9.1159588079,2.7439792971,-6.20031184,-3.456332543,322,4651,1652,4213,1333,1268,13439,43.4024267617746,626.908965431719,222.673319908235,567.870881824088,179.675263582129,170.91390414264,1811.44476165059
"Vermont",3724,596.227309260095,310.333333333333,49.6856091050079,624594,626042,0.997687056140003,1,1,50,624594,-1494,6035,5547,488,955,-2865,-1910,-72,9.6507345592,8.8703603314,0.7803742278,1.5271667778,-4.581500333,-3.054333556,223,2548,1122,405,295,130,4723,35.703192794039,407.945001072697,179.63669199512,64.8421214420888,47.2306810504103,20.8135204628927,756.171208817248
"Wyoming",7358,1256.70152570192,613.166666666667,104.725127141827,585501,586107,0.998966059098424,4,8,56,585501,-1054,7590,4838,2752,524,-4347,-3823,17,12.951599582,8.2555782318,4.6960213505,0.8941552281,-7.417734306,-6.523579078,303,120899,1774,3744,675,392,127787,51.7505520912859,20648.8118722257,302.988380890895,639.452366434899,115.285883371677,66.9512093062181,21825.2402643206
