"","total.GEO.id2","NAME","total.01.OccupiedHousingUnits","total.14.MedianHouseholdIncome","total.LessThan5000","total.5000to9999","total.10000to14999","total.15000to19999","total.20000to24999","total.25000to34999","total.35000to49999","total.50000to74999","total.75000to99999","total.100000to149999","total.150000.or.more","perCapita.LessThan5000","perCapita.5000to9999","perCapita.10000to14999","perCapita.15000to19999","perCapita.20000to24999","perCapita.25000to34999","perCapita.35000to49999","perCapita.50000to74999","perCapita.75000to99999","perCapita.100000to149999","perCapita.150000.or.more","Pop2010","Pop2011","Pop2012","Pop2013","Pop2014","Pop2015","Pop2016.x","ATF.Region","Pop2016.y","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL"
"22",26,"Michigan",3858532,51084,142765.684,154341.28,196785.132,208360.728,216077.792,409004.392,555628.608,721545.484,463023.84,470740.904,320258.156,1439.50178040002,1556.218140973,1984.17812974057,2100.89449031354,2178.70539736219,4123.97807357844,5602.38530750279,7275.31980904876,4668.65442291899,4746.46532996764,3229.15264251897,9877495,9876213,9887238,9898982,9915767,9917715,9928300,4,9928300,26151,2179.25,263.398541200554,21.9498784333795
"23",27,"Minnesota",2147262,63488,47239.764,57976.074,85890.48,90185.004,100921.314,182517.27,276996.798,405832.518,300616.68,341414.658,259818.702,861.656617907919,1057.48766743245,1566.64839619622,1644.98081600603,1840.81186553055,3329.12784191696,5052.4410777328,7402.41367202712,5483.26938668675,6227.42737487996,4739.11139849355,5311147,5348562,5380285,5418521,5453109,5482435,5519952,3,5519952,17391,1449.25,315.057087452934,26.2547572877445
"24",28,"Mississippi",1104371,40593,60740.405,66262.26,76201.599,81723.454,76201.599,128107.036,157925.053,183325.586,119272.068,103810.874,50801.066,2031.86620012779,2216.58130923031,2549.06850561486,2733.78361471738,2549.06850561486,4285.3905311786,5282.85212033224,6132.54162220386,3989.84635661456,3472.64405112749,1699.37900374324,2970322,2978162,2984945,2990482,2992400,2989390,2988726,1,2988726,11264,938.666666666667,376.882992954188,31.4069160795157
"25",29,"Missouri",2374180,50238,75973.76,90218.84,132954.08,128205.72,137702.44,263533.98,349004.46,443971.66,284901.6,284901.6,180437.68,1250.3490666212,1484.78951661267,2188.1108665871,2109.96404992327,2266.25768325092,4337.14832484229,5743.79102479114,7306.72735806764,4688.8089998295,4688.8089998295,2969.57903322535,5996118,6010717,6025415,6042711,6060930,6076204,6093000,5,6093000,26691,2224.25,438.060068931561,36.5050057442967
"26",30,"Montana",414804,49509,13273.728,16592.16,23229.024,22814.22,27377.064,46043.244,59731.776,81716.388,48946.872,47702.46,27791.868,1286.1229777351,1607.65372216888,2250.71521103643,2210.52386798221,2652.62864157865,4461.23907901863,5787.55339980796,7917.69458168172,4742.57848039819,4622.00445123552,2692.81998463287,990641,997821,1005196,1014314,1022867,1032073,1042520,9,1042520,12987,1082.25,1245.73149675786,103.810958063155
"27",31,"Nebraska",744159,54996,19348.134,23068.929,36463.791,35719.632,40928.745,75904.218,104926.419,143622.687,98228.988,103438.101,61765.197,1021.67555108474,1218.15161860104,1925.46546165971,1886.17024815645,2161.23674267927,4008.11177733246,5540.62510395957,7583.97620612906,5186.96818243024,5462.03467695305,3261.50272077053,1830051,1842283,1855725,1868559,1881145,1893765,1907116,5,1907116,8228,685.666666666667,431.436787274607,35.9530656062173
"28",32,"Nevada",1042065,52431,36472.275,31261.95,47934.99,50019.12,57313.575,115669.215,155267.685,199034.415,136510.515,129216.06,84407.265,1264.74811686695,1084.06981445739,1662.24038216799,1734.51170313182,1987.46132650521,4011.05831349232,5384.21341180501,6901.91115204535,4733.77152313058,4480.82189975719,2926.98849903494,2703284,2718379,2752565,2786464,2833013,2883758,2940058,9,2940058,7452,621,253.464387437255,21.1220322864379
"29",33,"New Hampshire",517615,70303,8799.455,11905.145,17598.91,20186.985,22775.06,38821.125,61596.185,92135.47,75571.79,90065.01,78159.865,661.557945163975,895.048984633613,1323.11589032795,1517.69175655265,1712.26762277735,2918.63799337048,4630.90561614782,6926.90083759927,5681.6152937612,6771.24014461951,5876.1911599859,1316872,1318473,1321182,1322687,1328743,1330111,1334795,6,1334795,5961,496.75,446.585430721571,37.215452560131
"30",34,"New Jersey",3187963,72222,95638.89,86075.001,114766.668,127518.52,133894.446,245473.151,334736.115,497322.228,388931.486,541953.71,621652.785,1070.33445877928,963.301012901351,1284.40135053513,1427.1126117057,1498.46824229099,2747.19177753348,3746.17060572748,5565.73918565225,4352.6934657024,6065.22859974925,6957.17398206531,8803729,8841243,8873211,8899162,8925001,8935421,8944469,8,8944469,3957,329.75,44.2396300998975,3.68663584165812
"31",35,"New Mexico",761797,45382,35042.662,39613.444,48755.008,48755.008,48755.008,86083.061,104366.189,130267.287,83797.67,83797.67,52563.993,1684.47773620314,1904.19222353398,2343.62119819567,2343.62119819567,2343.62119819567,4137.95617806423,5016.8141273876,6261.86288892905,4028.09893439881,4028.09893439881,2526.71660430471,2064756,2077756,2083784,2085193,2083024,2080328,2081015,5,2081015,8291,690.916666666667,398.411352152675,33.200946012723
"32",36,"New York",7233694,60850,267646.678,296581.454,361684.7,347217.312,339983.618,622097.684,824641.116,1179092.122,853575.892,1063353.018,1085054.1,1355.36637301634,1501.89246739649,1831.57617975182,1758.31313256174,1721.68160896671,3150.31102917312,4175.99368983414,5970.93834599092,4322.51978421429,5384.83396847034,5494.72853925545,19402640,19519529,19602769,19673546,19718515,19747183,19745289,6,19745289,19935,1661.25,100.960791204423,8.41339926703529
