"ind.GEO.id2","NAME","Pop2015","perCapitaFFL","Industry","PerCapIndustry"
5,"Arkansas",2977853,42.5304950146931,"Agriculture",1386.93884486575
6,"California",38993940,6.49235387592316,"Agriculture",1145.3420711013
8,"Colorado",5448819,31.1371294099528,"Agriculture",1316.46876139582
9,"Connecticut",3584730,15.08245229257,"Agriculture",199.429245717251
10,"Delaware",944076,12.542911110761,"Agriculture",540.846287798864
12,"Florida",20244914,15.5072219578996,"Agriculture",503.440024492077
13,"Georgia",10199398,19.256500727924,"Agriculture",508.745712246938
15,"Hawaii",1425157,7.30340709774502,"Agriculture",676.69737439454
16,"Idaho",1652828,56.7490919749199,"Agriculture",2350.45630882342
17,"Illinois",12839047,15.8620251309888,"Agriculture",538.840616441392
18,"Indiana",6612768,22.1127435586599,"Agriculture",697.862075306438
19,"Iowa",3121997,41.051335276958,"Agriculture",1943.01916369554
20,"Kansas",2906721,38.5009310506569,"Agriculture",1663.97118952937
21,"Kentucky",4424611,31.8366376123307,"Agriculture",1108.30082011729
22,"Louisiana",4668960,26.0359595636824,"Agriculture",1829.63657859566
23,"Maine",1329453,38.866553659502,"Agriculture",1311.44162298329
24,"Maryland",5994983,9.81060748976929,"Agriculture",232.794655130799
25,"Massachusetts",6784240,7.19342186527191,"Agriculture",200.214025447213
26,"Michigan",9917715,21.9498784333795,"Agriculture",530.192690554225
27,"Minnesota",5482435,26.2547572877445,"Agriculture",1153.64796846657
28,"Mississippi",2989390,31.4069160795157,"Agriculture",1159.06589638689
29,"Missouri",6076204,36.5050057442967,"Agriculture",843.536523790182
30,"Montana",1032073,103.810958063155,"Agriculture",3317.78856728158
31,"Nebraska",1893765,35.9530656062173,"Agriculture",2323.30833023105
32,"Nevada",2883758,21.1220322864379,"Agriculture",726.205180878562
33,"New Hampshire",1330111,37.215452560131,"Agriculture",453.646349815918
34,"New Jersey",8935421,3.68663584165812,"Agriculture",162.331467090359
35,"New Mexico",2080328,33.200946012723,"Agriculture",1784.14173149619
36,"New York",19747183,8.41339926703529,"Agriculture",264.837774582835
37,"North Carolina",10035186,23.6273455862749,"Agriculture",554.987221960809
38,"North Dakota",756835,54.4449604548397,"Agriculture",5071.11853970813
39,"Ohio",11605090,21.2610128272386,"Agriculture",513.145524937764
40,"Oklahoma",3907414,39.0036839833339,"Agriculture",2250.59335918846
41,"Oregon",4024634,35.3205251134023,"Agriculture",1627.77534553453
42,"Pennsylvania",12791904,19.9679652121321,"Agriculture",700.755727997959
44,"Rhode Island",1055607,8.57450813718456,"Agriculture",206.705715289876
45,"South Carolina",4894834,22.4310953503299,"Agriculture",450.209343156479
46,"South Dakota",857919,59.6411440315334,"Agriculture",3391.11268080087
47,"Tennessee",6595056,23.0873333920697,"Agriculture",437.191132266352
48,"Texas",27429639,22.7174333169338,"Agriculture",1583.76856509121
49,"Utah",2990632,30.3294281156229,"Agriculture",932.244421914833
50,"Vermont",626088,49.6856091050079,"Agriculture",1274.26176511928
51,"Virginia",8367587,20.3880069540341,"Agriculture",496.726236607997
53,"Washington",7160290,16.4962952799122,"Agriculture",1264.64151591625
54,"West Virginia",1841053,48.8594664123936,"Agriculture",1675.12830972275
55,"Wisconsin",5767891,27.2191754050675,"Agriculture",1221.79840083663
56,"Wyoming",586555,104.725127141827,"Agriculture",6497.42990853373
1,"Alabama",4853875,25.2931822699265,"Construction",2645.08253714815
2,"Alaska",737709,81.8176181503018,"Construction",3445.12538141733
4,"Arizona",6817565,26.1611805736805,"Construction",2842.73050568641
5,"Arkansas",2977853,42.5304950146931,"Construction",2739.79272986276
6,"California",38993940,6.49235387592316,"Construction",2852.33038774743
8,"Colorado",5448819,31.1371294099528,"Construction",4018.85252565739
9,"Connecticut",3584730,15.08245229257,"Construction",3019.11162067994
10,"Delaware",944076,12.542911110761,"Construction",3056.74543151187
12,"Florida",20244914,15.5072219578996,"Construction",3168.32662267669
13,"Georgia",10199398,19.256500727924,"Construction",2954.88027822819
15,"Hawaii",1425157,7.30340709774502,"Construction",3756.91941308922
16,"Idaho",1652828,56.7490919749199,"Construction",2975.92973981564
17,"Illinois",12839047,15.8620251309888,"Construction",2574.64592192863
18,"Indiana",6612768,22.1127435586599,"Construction",2793.52005090758
19,"Iowa",3121997,41.051335276958,"Construction",3235.3970871849
