"","NAME","perCapita.01.OccupiedHousingUnits","perCapita.14.MedianHouseholdIncome","perCapita.LessThan5000","perCapita.5000to9999","perCapita.10000to14999","perCapita.15000to19999","perCapita.20000to24999","perCapita.25000to34999","perCapita.35000to49999","perCapita.50000to74999","perCapita.75000to99999","perCapita.100000to149999","perCapita.150000.or.more","Pop2015","Pop2016.x","ATF.Region","Pop2016.y","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL"
"23","Minnesota",39166.2099049054,1158.02558534666,861.656617907919,1057.48766743245,1566.64839619622,1644.98081600603,1840.81186553055,3329.12784191696,5052.4410777328,7402.41367202712,5483.26938668675,6227.42737487996,4739.11139849355,5482435,5519952,3,5519952,17391,1449.25,315.057087452934,26.2547572877445
"24","Mississippi",36943.0218205052,1357.90244832558,2031.86620012779,2216.58130923031,2549.06850561486,2733.78361471738,2549.06850561486,4285.3905311786,5282.85212033224,6132.54162220386,3989.84635661456,3472.64405112749,1699.37900374324,2989390,2988726,1,2988726,11264,938.666666666667,376.882992954188,31.4069160795157
"25","Missouri",39073.4083319125,826.799100227708,1250.3490666212,1484.78951661267,2188.1108665871,2109.96404992327,2266.25768325092,4337.14832484229,5743.79102479114,7306.72735806764,4688.8089998295,4688.8089998295,2969.57903322535,6076204,6093000,5,6093000,26691,2224.25,438.060068931561,36.5050057442967
"26","Montana",40191.3430542219,4797.04439511546,1286.1229777351,1607.65372216888,2250.71521103643,2210.52386798221,2652.62864157865,4461.23907901863,5787.55339980796,7917.69458168172,4742.57848039819,4622.00445123552,2692.81998463287,1032073,1042520,9,1042520,12987,1082.25,1245.73149675786,103.810958063155
"27","Nebraska",39295.2135032594,2904.0562054954,1021.67555108474,1218.15161860104,1925.46546165971,1886.17024815645,2161.23674267927,4008.11177733246,5540.62510395957,7583.97620612906,5186.96818243024,5462.03467695305,3261.50272077053,1893765,1907116,5,1907116,8228,685.666666666667,431.436787274607,35.9530656062173
"28","Nevada",36135.6604819128,1818.14840218909,1264.74811686695,1084.06981445739,1662.24038216799,1734.51170313182,1987.46132650521,4011.05831349232,5384.21341180501,6901.91115204535,4733.77152313058,4480.82189975719,2926.98849903494,2883758,2940058,9,2940058,7452,621,253.464387437255,21.1220322864379
"29","New Hampshire",38915.1732449397,5285.49872905344,661.557945163975,895.048984633613,1323.11589032795,1517.69175655265,1712.26762277735,2918.63799337048,4630.90561614782,6926.90083759927,5681.6152937612,6771.24014461951,5876.1911599859,1330111,1334795,6,1334795,5961,496.75,446.585430721571,37.215452560131
"30","New Jersey",35677.8152926426,808.266336863143,1070.33445877928,963.301012901351,1284.40135053513,1427.1126117057,1498.46824229099,2747.19177753348,3746.17060572748,5565.73918565225,4352.6934657024,6065.22859974925,6957.17398206531,8935421,8944469,8,8944469,3957,329.75,44.2396300998975,3.68663584165812
"31","New Mexico",36619.0812218073,2181.48292000108,1684.47773620314,1904.19222353398,2343.62119819567,2343.62119819567,2343.62119819567,4137.95617806423,5016.8141273876,6261.86288892905,4028.09893439881,4028.09893439881,2526.71660430471,2080328,2081015,5,2081015,8291,690.916666666667,398.411352152675,33.200946012723
"32","New York",36631.5235950363,308.145217472285,1355.36637301634,1501.89246739649,1831.57617975182,1758.31313256174,1721.68160896671,3150.31102917312,4175.99368983414,5970.93834599092,4322.51978421429,5384.83396847034,5494.72853925545,19747183,19745289,6,19745289,19935,1661.25,100.960791204423,8.41339926703529
